case_id,condition,status,error_message,patch_path,operation_index,operation_type,source_state,event,target_state,failure_class
repair__c1_pilot_ollama_behavioral__login_system__qwen2_5_coder_7b__r01,C,patch_application_error,patch application failed: operation[0] add_transition: self-loop 'Authenticating' --submit_credentials--> 'Authenticating' is rejected,/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c1_pilot_ollama_behavioral__login_system__qwen2_5_coder_7b__r01/C/ollama/patch.json,0,add_transition,Authenticating,submit_credentials,Authenticating,invalid_operation_semantics
repair__c1_pilot_ollama_behavioral__login_system__qwen2_5_coder_7b__r02,C,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Authenticating', 'login_successful'); existing target 'LoggedIn'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c1_pilot_ollama_behavioral__login_system__qwen2_5_coder_7b__r02/C/ollama/patch.json,0,add_transition,Authenticating,login_successful,LoggedIn,duplicate_transition
repair__c1_pilot_ollama_behavioral__login_system__qwen2_5_coder_7b__r03,C,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Authenticating', 'login_successful'); existing target 'LoggedIn'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c1_pilot_ollama_behavioral__login_system__qwen2_5_coder_7b__r03/C/ollama/patch.json,0,add_transition,Authenticating,login_successful,LoggedIn,duplicate_transition
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r01,C,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('CreditAvailable', 'coffee_pressed'); existing target 'Dispensing'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r01/C/ollama/patch.json,0,add_transition,CreditAvailable,coffee_pressed,Dispensing,duplicate_transition
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r01,D,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('CreditAvailable', 'coffee_pressed'); existing target 'Dispensing'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r01/D/ollama/patch.json,0,add_transition,CreditAvailable,coffee_pressed,Dispensing,duplicate_transition
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r01,E,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('CreditAvailable', 'coffee_pressed'); existing target 'Dispensing'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r01/E/ollama/patch.json,0,add_transition,CreditAvailable,coffee_pressed,Dispensing,duplicate_transition
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r02,C,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('CreditAvailable', 'coffee_pressed'); existing target 'Dispensing'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r02/C/ollama/patch.json,0,add_transition,CreditAvailable,coffee_pressed,Dispensing,duplicate_transition
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r02,D,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('CreditAvailable', 'coffee_pressed'); existing target 'Dispensing'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r02/D/ollama/patch.json,0,add_transition,CreditAvailable,coffee_pressed,Dispensing,duplicate_transition
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r02,E,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('CreditAvailable', 'coffee_pressed'); existing target 'Dispensing'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r02/E/ollama/patch.json,0,add_transition,CreditAvailable,coffee_pressed,Dispensing,duplicate_transition
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r03,C,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('CreditAvailable', 'coffee_pressed'); existing target 'Dispensing'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r03/C/ollama/patch.json,0,add_transition,CreditAvailable,coffee_pressed,Dispensing,duplicate_transition
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r03,D,patch_application_error,patch application failed: operation[0] update_transition: no transition 'CreditAvailable' --coffee_pressed--> 'Idle'; targets: ['Dispensing'],/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r03/D/ollama/patch.json,0,update_transition,CreditAvailable,coffee_pressed,Dispensing,transition_not_found
