case_id,initial_bpr,status_C,status_D,status_E,error_C,error_D,error_E,patch_valid_C,patch_valid_D,patch_valid_E,patch_applied_C,patch_applied_D,patch_applied_E,outcome_C,outcome_D,outcome_E,final_bpr_C,final_bpr_D,final_bpr_E,delta_C,delta_D,delta_E,best_condition
repair__c1_pilot_ollama_behavioral__atm__llama3_1_8b__r02,0.25,ok,ok,ok,,,,true,true,true,true,true,true,no_improvement,no_improvement,no_improvement,0.25,0.25,0.25,0.0,0.0,0.0,C+D+E
repair__c1_pilot_ollama_behavioral__atm__llama3_1_8b__r03,0.25,ok,ok,ok,,,,true,true,true,true,true,true,no_improvement,no_improvement,no_improvement,0.25,0.25,0.25,0.0,0.0,0.0,C+D+E
repair__c1_pilot_ollama_behavioral__atm__llama3_1_8b__r04,0.25,ok,ok,ok,,,,true,true,true,true,true,true,no_improvement,no_improvement,no_improvement,0.25,0.25,0.25,0.0,0.0,0.0,C+D+E
repair__c1_pilot_ollama_behavioral__login_system__qwen2_5_coder_7b__r01,0.3333333333333333,patch_application_error,patch_application_error,ok,"patch application failed: operation[2] add_transition: duplicate (from, event) ('LoggedIn', 'logout'); existing target 'LoggedOut'","patch application failed: operation[2] add_transition: duplicate (from, event) ('LoggedIn', 'logout'); existing target 'LoggedOut'",,,,true,,,true,,,no_improvement,,,0.3333333333333333,,,0.0,E
repair__c1_pilot_ollama_behavioral__login_system__qwen2_5_coder_7b__r02,0.3333333333333333,patch_application_error,ok,ok,"patch application failed: operation[2] add_transition: duplicate (from, event) ('LoggedIn', 'logout'); existing target 'LoggedOut'",,,,true,true,,true,true,,no_improvement,no_improvement,,0.3333333333333333,0.3333333333333333,,0.0,0.0,D+E
repair__c1_pilot_ollama_behavioral__login_system__qwen2_5_coder_7b__r03,0.3333333333333333,patch_application_error,patch_application_error,ok,"patch application failed: operation[2] add_transition: duplicate (from, event) ('LoggedIn', 'logout'); existing target 'LoggedOut'","patch application failed: operation[2] add_transition: duplicate (from, event) ('LoggedIn', 'logout'); existing target 'LoggedOut'",,,,true,,,true,,,no_improvement,,,0.3333333333333333,,,0.0,E
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r01,0.3333333333333333,patch_application_error,patch_application_error,runner_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('CreditAvailable', 'coffee_pressed'); existing target 'Dispensing'","patch application failed: operation[0] add_transition: duplicate (from, event) ('CreditAvailable', 'coffee_pressed'); existing target 'Dispensing'",correction inference failed: corrections[1] self-loop 'Idle' --coffee_pressed--> 'Idle' is not allowed,,,,,,,,,,,,,,,,
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r02,0.3333333333333333,patch_application_error,patch_application_error,ok,"patch application failed: operation[0] add_transition: duplicate (from, event) ('CreditAvailable', 'coffee_pressed'); existing target 'Dispensing'","patch application failed: operation[0] add_transition: duplicate (from, event) ('CreditAvailable', 'coffee_pressed'); existing target 'Dispensing'",,,,true,,,true,,,no_improvement,,,0.3333333333333333,,,0.0,E
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r03,0.3333333333333333,patch_application_error,patch_application_error,ok,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Idle', 'coffee_pressed'); existing target 'Idle'","patch application failed: operation[0] add_transition: duplicate (from, event) ('CreditAvailable', 'coffee_pressed'); existing target 'Dispensing'",,,,true,,,true,,,no_improvement,,,0.3333333333333333,,,0.0,E
repair__c2_core_ollama_behavioral__access_control__qwen2_5_coder_7b__r01,0.8333333333333334,ok,ok,runner_error,,,correction inference failed: corrections[0] self-loop 'Locked' --lock_command--> 'Locked' is not allowed,true,true,,true,true,,behavioural_degradation,behavioural_degradation,,0.6666666666666666,0.6666666666666666,,-0.16666666666666674,-0.16666666666666674,,C+D
repair__c2_core_ollama_behavioral__access_control__qwen2_5_coder_7b__r02,0.8333333333333334,ok,patch_application_error,runner_error,,patch application failed: operation[0] update_transition: old_to and new_to must differ (both 'Locked'),correction inference failed: corrections[0] self-loop 'Locked' --lock_command--> 'Locked' is not allowed,true,,,true,,,behavioural_degradation,,,0.6666666666666666,,,-0.16666666666666674,,,C
repair__c2_core_ollama_behavioral__access_control__qwen2_5_coder_7b__r03,0.8333333333333334,patch_application_error,patch_application_error,runner_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Unlocked', 'lock_command'); existing target 'Locked'","patch application failed: operation[1] add_transition: duplicate (from, event) ('Unlocked', 'badge_scan'); existing target 'Unlocked'",correction inference failed: corrections[0] self-loop 'Locked' --lock_command--> 'Locked' is not allowed,,,,,,,,,,,,,,,,
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r01,0.5882352941176471,patch_application_error,patch_application_error,ok,"patch application failed: operation[1] add_transition: duplicate (from, event) ('Available', 'reserve'); existing target 'Reserved'","patch application failed: operation[0] update_transition: no transition 'Rented' --return_bike--> 'Available'; no (from, event) match",,,,true,,,true,,,effective_repair,,,0.7058823529411765,,,0.11764705882352944,E
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r02,0.5882352941176471,ok,ok,ok,,,,true,true,true,true,true,true,no_improvement,effective_repair,effective_repair,0.5882352941176471,0.7058823529411765,0.7058823529411765,0.0,0.11764705882352944,0.11764705882352944,D+E
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r03,0.5882352941176471,ok,patch_application_error,ok,,"patch application failed: operation[0] update_transition: no transition 'Rented' --return_bike--> 'Available'; no (from, event) match",,true,,true,true,,true,no_improvement,,effective_repair,0.5882352941176471,,0.7058823529411765,0.0,,0.11764705882352944,E
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r01,0.25,ok,patch_application_error,ok,,"patch application failed: operation[1] add_transition: duplicate (from, event) ('DoorOpen', 'close_door_command'); existing target 'Closing'",,true,,true,true,,true,no_improvement,,no_improvement,0.25,,0.25,0.0,,0.0,C+E
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r02,0.25,patch_application_error,patch_application_error,ok,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Moving', 'door_opened'); existing target 'DoorOpen'","patch application failed: operation[1] add_transition: duplicate (from, event) ('DoorOpen', 'close_door_command'); existing target 'Closing'",,,,true,,,true,,,no_improvement,,,0.25,,,0.0,E
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r03,0.25,ok,patch_application_error,ok,,"patch application failed: operation[1] add_transition: duplicate (from, event) ('DoorOpen', 'close_door_command'); existing target 'Closing'",,true,,true,true,,true,no_improvement,,no_improvement,0.25,,0.25,0.0,,0.0,C+E
repair__c2_core_ollama_behavioral__hotel_booking__llama3_1_8b__r01,0.875,patch_application_error,patch_application_error,ok,"patch application failed: operation[0] add_transition: duplicate (from, event) ('BookingHeld', 'confirm_payment'); existing target 'Confirmed'","patch application failed: operation[1] add_transition: duplicate (from, event) ('NoBooking', 'select_room'); existing target 'NoBooking'",,,,true,,,true,,,no_improvement,,,0.875,,,0.0,E
repair__c2_core_ollama_behavioral__hotel_booking__llama3_1_8b__r02,0.875,patch_application_error,patch_application_error,abstained,"patch application failed: operation[0] add_transition: duplicate (from, event) ('BookingHeld', 'confirm_payment'); existing target 'Confirmed'","patch application failed: operation[1] add_transition: duplicate (from, event) ('NoBooking', 'select_room'); existing target 'SearchResults'",,,,not_applicable,,,false,,,abstained,,,0.875,,,0.0,E
repair__c2_core_ollama_behavioral__package_locker__qwen2_5_coder_7b__r01,0.23529411764705882,patch_application_error,patch_application_error,abstained,"patch application failed: operation[0] add_transition: to state 'Rejected' not in states ['Completed', 'Empty', 'Loaded', 'ReadyForPickup']","patch application failed: operation[0] add_transition: to state 'Rejected' not in states ['Completed', 'Empty', 'Loaded', 'ReadyForPickup']",,,,not_applicable,,,false,,,abstained,,,0.23529411764705882,,,0.0,E
repair__c2_core_ollama_behavioral__package_locker__qwen2_5_coder_7b__r02,0.23529411764705882,patch_application_error,patch_application_error,abstained,"patch application failed: operation[0] add_transition: to state 'Rejected' not in states ['Completed', 'Empty', 'Loaded', 'ReadyForPickup']","patch application failed: operation[0] add_transition: to state 'Rejected' not in states ['Completed', 'Empty', 'Loaded', 'ReadyForPickup']",,,,not_applicable,,,false,,,abstained,,,0.23529411764705882,,,0.0,E
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r01,0.23529411764705882,patch_application_error,patch_application_error,runner_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Open', 'Vehicle_Detection'); existing target 'Open'","patch application failed: operation[0] add_transition: duplicate (from, event) ('Open', 'Vehicle_Detection'); existing target 'Open'",correction inference failed: corrections[1] self-loop 'Open' --Vehicle_Detection--> 'Open' is not allowed,,,,,,,,,,,,,,,,
